id,link,title_name,score,scored_by,ranked,popularity,members,favorited,synonymns,japanese_name,english_name,german_name,french_name,spanish_name,item_type,episodes,status,airing_date,premier_date,broadcast_date,producers,licensors,studios,source,genres,themes,demographic,duration,age_rating,description,background
52991,https://myanimelist.net/anime/52991/Sousou_no_Frieren,Sousou no Frieren,9.3,696616,1,137,1171400,72555,"Frieren at the Funeral, Frieren The Slayer",葬送のフリーレン,Frieren: Beyond Journey's End,,,,TV,28,Finished Airing,"Sep 29, 2023 to Mar 22, 2024",Fall 2023,Fridays at 23:00 (JST),"[""Aniplex"", ""Dentsu"", ""Shogakukan-Shueisha Productions"", ""Nippon Television Network"", ""TOHO animation"", ""Shogakukan""]","[""Crunchyroll""]","[""Madhouse""]",Manga,"[""Adventure"", ""Drama"", ""Fantasy""]",[],Shounen,24 min. per ep.,PG-13 - Teens 13 or older,"During their decade-long quest to defeat the Demon King, the members of the hero's party—Himmel himself, the priest Heiter, the dwarf warrior Eisen, and the elven mage Frieren—forge bonds through adventures and battles, creating unforgettable precious memories for most of them. However, the time that Frieren spends with her comrades is equivalent to merely a fraction of her life, which has lasted over a thousand years. When the party disbands after their victory, Frieren casually returns to her ""usual"" routine of collecting spells across the continent. Due to her different sense of time, she seemingly holds no strong feelings toward the experiences she went through. As the years pass, Frieren gradually realizes how her days in the hero's party truly impacted her. Witnessing the deaths of two of her former companions, Frieren begins to regret having taken their presence for granted; she vows to better understand humans and create real personal connections. Although the story of that once memorable journey has long ended, a new tale is about to begin. [Written by MAL Rewrite]","Sousou no Frieren was released on Blu-ray and DVD in seven volumes from January 24, 2024, to July 17, 2024."
5114,https://myanimelist.net/anime/5114/Fullmetal_Alchemist__Brotherhood,Fullmetal Alchemist: Brotherhood,9.1,2232236,2,3,3547700,234996,"Hagane no Renkinjutsushi: Fullmetal Alchemist, Fullmetal Alchemist (2009), FMA, FMAB",鋼の錬金術師 FULLMETAL ALCHEMIST,Fullmetal Alchemist: Brotherhood,,Fullmetal Alchemist Brotherhood,,TV,64,Finished Airing,"Apr 5, 2009 to Jul 4, 2010",Spring 2009,Sundays at 17:00 (JST),"[""Aniplex"", ""Square Enix"", ""Mainichi Broadcasting System"", ""Techno Sound""]","[""Funimation"", ""Aniplex of America""]","[""Bones""]",Manga,"[""Action"", ""Adventure"", ""Drama"", ""Fantasy""]","[""Military""]",Shounen,24 min. per ep.,R - 17+ (violence & profanity),"After a horrific alchemy experiment goes wrong in the Elric household, brothers Edward and Alphonse are left in a catastrophic new reality. Ignoring the alchemical principle banning human transmutation, the boys attempted to bring their recently deceased mother back to life. Instead, they suffered brutal personal loss: Alphonse's body disintegrated while Edward lost a leg and then sacrificed an arm to keep Alphonse's soul in the physical realm by binding it to a hulking suit of armor. The brothers are rescued by their neighbor Pinako Rockbell and her granddaughter Winry. Known as a bio-mechanical engineering prodigy, Winry creates prosthetic limbs for Edward by utilizing ""automail,"" a tough, versatile metal used in robots and combat armor. After years of training, the Elric brothers set off on a quest to restore their bodies by locating the Philosopher's Stone—a powerful gem that allows an alchemist to defy the traditional laws of Equivalent Exchange. As Edward becomes an infamous alchemist and gains the nickname ""Fullmetal,"" the boys' journey embroils them in a growing conspiracy that threatens the fate of the world. [Written by MAL Rewrite]",
9253,https://myanimelist.net/anime/9253/Steins_Gate,Steins;Gate,9.07,1472818,3,14,2716426,196912,,STEINS;GATE,Steins;Gate,,,,TV,24,Finished Airing,"Apr 6, 2011 to Sep 14, 2011",Spring 2011,Wednesdays at 02:05 (JST),"[""Frontier Works"", ""Media Factory"", ""Kadokawa Shoten"", ""Movic"", ""AT-X"", ""Kadokawa Pictures Japan"", ""Nitroplus""]","[""Funimation""]","[""White Fox""]",Visual novel,"[""Drama"", ""Sci-Fi"", ""Suspense""]","[""Psychological"", ""Time Travel""]",,24 min. per ep.,PG-13 - Teens 13 or older,"Eccentric scientist Rintarou Okabe has a never-ending thirst for scientific exploration. Together with his ditzy but well-meaning friend Mayuri Shiina and his roommate Itaru Hashida, Okabe founds the Future Gadget Laboratory in the hopes of creating technological innovations that baffle the human psyche. Despite claims of grandeur, the only notable ""gadget"" the trio have created is a microwave that has the mystifying power to turn bananas into green goo. However, when Okabe attends a conference on time travel, he experiences a series of strange events that lead him to believe that there is more to the ""Phone Microwave"" gadget than meets the eye. Apparently able to send text messages into the past using the microwave, Okabe dabbles further with the ""time machine,"" attracting the ire and attention of the mysterious organization SERN. Due to the novel discovery, Okabe and his friends find themselves in an ever-present danger. As he works to mitigate the damage his invention has caused to the timeline, Okabe fights a battle to not only save his loved ones but also to preserve his degrading sanity. [Written by MAL Rewrite]",Steins;Gate is based on 5pb. and Nitroplus' visual novel of the same title released in 2009. It serves as the second entry in the Science Adventure series.
38524,https://myanimelist.net/anime/38524/Shingeki_no_Kyojin_Season_3_Part_2,Shingeki no Kyojin Season 3 Part 2,9.05,1710556,4,21,2469690,61370,,進撃の巨人 Season3 Part.2,Attack on Titan Season 3 Part 2,Attack on Titan Staffel 3 Teil 2,L'Attaque des Titans Saison 3 Partie 2,Ataque a los Titanes Temporada 3 Parte 2,TV,10,Finished Airing,"Apr 29, 2019 to Jul 1, 2019",Spring 2019,Mondays at 00:10 (JST),"[""Production I.G"", ""Dentsu"", ""Mainichi Broadcasting System"", ""Pony Canyon"", ""Kodansha"", ""Techno Sound"", ""Pony Canyon Enterprises""]","[""Funimation""]","[""Wit Studio""]",Manga,"[""Action"", ""Drama"", ""Suspense""]","[""Gore"", ""Military"", ""Survival""]",Shounen,23 min. per ep.,R - 17+ (violence & profanity),"Seeking to restore humanity's diminishing hope, the Survey Corps embark on a mission to retake Wall Maria, where the battle against the merciless ""Titans"" takes the stage once again. Returning to the tattered Shiganshina District that was once his home, Eren Yeager and the Corps find the town oddly unoccupied by Titans. Even after the outer gate is plugged, they strangely encounter no opposition. The mission progresses smoothly until Armin Arlert, highly suspicious of the enemy's absence, discovers distressing signs of a potential scheme against them. Shingeki no Kyojin Season 3 Part 2 follows Eren as he vows to take back everything that was once his. Alongside him, the Survey Corps strive—through countless sacrifices—to carve a path towards victory and uncover the secrets locked away in the Yeager family's basement. [Written by MAL Rewrite]",Shingeki no Kyojin Season 3 Part 2 adapts content from volumes 18-22 of Hajime Isayama's award-winning manga of the same name.
39486,https://myanimelist.net/anime/39486/Gintama__The_Final,Gintama: The Final,9.05,81382,5,1522,171865,4503,,銀魂 THE FINAL,Gintama: The Very Final,,,,Movie,1,Finished Airing,"Jan 8, 2021",,,"[""TV Tokyo"", ""Aniplex"", ""Dentsu"", ""Bandai"", ""Warner Bros. Japan"", ""Shueisha""]","[""Eleven Arts""]","[""Bandai Namco Pictures""]",Manga,"[""Action"", ""Comedy"", ""Drama"", ""Sci-Fi""]","[""Gag Humor"", ""Historical"", ""Parody"", ""Samurai""]",Shounen,1 hr. 44 min.,PG-13 - Teens 13 or older,"Two years have passed following the Tendoshuu's invasion of the O-Edo Central Terminal. Since then, the Yorozuya have gone their separate ways. Foreseeing Utsuro's return, Gintoki Sakata begins surveying Earth's ley lines for traces of the other man's Altana. After an encounter with the remnants of the Tendoshuu—who continue to press on in search of immortality—Gintoki returns to Edo. Later, the regrouped Shinsengumi and Yorozuya begin an attack on the occupied Central Terminal. With the Altana harvested by the wreckage of the Tendoshuu's ship in danger of detonating, the Yorozuya and their allies fight their enemies while the safety of Edo—and the rest of the world—hangs in the balance. Fulfilling the wishes of their teacher, Shouyou Yoshida's former students unite and relive their pasts one final time in an attempt to save their futures. [Written by MAL Rewrite]","As of March 2021, Gintama: The Final has earned a franchise record of 1.85 billion yen (16.94 million USD) and debuted at No. 1 at the Japanese box office. The film concludes the Gintama anime series, adapting chapters 699-704 of the original manga with new story elements."
28977,https://myanimelist.net/anime/28977/Gintama°,Gintama°,9.05,265163,6,343,671759,17237,Gintama' (2015),銀魂°,Gintama Season 4,Gintama Season 4,Gintama Saison 4,Gintama Temporada 4,TV,51,Finished Airing,"Apr 8, 2015 to Mar 30, 2016",Spring 2015,Wednesdays at 18:00 (JST),"[""TV Tokyo"", ""Aniplex"", ""Dentsu""]","[""Funimation"", ""Crunchyroll""]","[""Bandai Namco Pictures""]",Manga,"[""Action"", ""Comedy"", ""Sci-Fi""]","[""Gag Humor"", ""Historical"", ""Parody"", ""Samurai""]",Shounen,24 min. per ep.,PG-13 - Teens 13 or older,"Gintoki, Shinpachi, and Kagura return as the fun-loving but broke members of the Yorozuya team! Living in an alternate-reality Edo, where swords are prohibited and alien overlords have conquered Japan, they try to thrive on doing whatever work they can get their hands on. However, Shinpachi and Kagura still haven't been paid... Does Gin-chan really spend all that cash playing pachinko? Meanwhile, when Gintoki drunkenly staggers home one night, an alien spaceship crashes nearby. A fatally injured crew member emerges from the ship and gives Gintoki a strange, clock-shaped device, warning him that it is incredibly powerful and must be safeguarded. Mistaking it for his alarm clock, Gintoki proceeds to smash the device the next morning and suddenly discovers that the world outside his apartment has come to a standstill. With Kagura and Shinpachi at his side, he sets off to get the device fixed; though, as usual, nothing is ever that simple for the Yorozuya team. Filled with tongue-in-cheek humor and moments of heartfelt emotion, Gintama 's fourth season finds Gintoki and his friends facing both their most hilarious misadventures and most dangerous crises yet. [Written by MAL Rewrite]",
60022,https://myanimelist.net/anime/60022/One_Piece_Fan_Letter,One Piece Fan Letter,9.04,86983,7,2034,118860,2289,,ONE PIECE FAN LETTER,,,,,TV Special,1,Finished Airing,"Oct 20, 2024",,,[],[],"[""Toei Animation""]",Light novel,"[""Action"", ""Adventure"", ""Fantasy""]",[],Shounen,24 min.,PG-13 - Teens 13 or older,"Although the golden age of piracy is about to reach new heights, most people do not seek the glory of finding the elusive One Piece—a treasure signifying a new conqueror of all seas that was once embodied by the legendary King of the Pirates, Gol D. Roger. However, even if civilians generally despise pirates, they secretly cheer for at least one of them. One red-headed girl from Sabaody Archipelago is no exception: She reveres Nami, the ingenious female navigator of Monkey D. Luffy's Straw Hat crew. Determined to deliver a fan letter to her idol, the Sabaody child is prepared to challenge forces of authority who strive to prevent Luffy and his friends from departing for their next destination: the New World. But to succeed, Nami's fan may need to risk her life and interfere with the Marines' plans, potentially causing devastating consequences for the wider world. [Written by MAL Rewrite]",This work serves to commemorate the 25th anniversary of the One Piece anime.
11061,https://myanimelist.net/anime/11061/Hunter_x_Hunter_2011,Hunter x Hunter (2011),9.03,1893615,8,8,3050800,221962,HxH (2011),HUNTER×HUNTER（ハンター×ハンター）,Hunter x Hunter,Hunter x Hunter,Hunter X Hunter,Hunter x Hunter,TV,148,Finished Airing,"Oct 2, 2011 to Sep 24, 2014",Fall 2011,Sundays at 10:55 (JST),"[""VAP"", ""Nippon Television Network"", ""Shueisha""]","[""VIZ Media""]","[""Madhouse""]",Manga,"[""Action"", ""Adventure"", ""Fantasy""]",[],Shounen,23 min. per ep.,PG-13 - Teens 13 or older,"Hunters devote themselves to accomplishing hazardous tasks, all from traversing the world's uncharted territories to locating rare items and monsters. Before becoming a Hunter, one must pass the Hunter Examination—a high-risk selection process in which most applicants end up handicapped or worse, deceased. Ambitious participants who challenge the notorious exam carry their own reason. What drives 12-year-old Gon Freecss is finding Ging, his father and a Hunter himself. Believing that he will meet his father by becoming a Hunter, Gon takes the first step to walk the same path. During the Hunter Examination, Gon befriends the medical student Leorio Paladiknight, the vindictive Kurapika, and ex-assassin Killua Zoldyck. While their motives vastly differ from each other, they band together for a common goal and begin to venture into a perilous world. [Written by MAL Rewrite]",
820,https://myanimelist.net/anime/820/Ginga_Eiyuu_Densetsu,Ginga Eiyuu Densetsu,9.02,84584,9,755,347137,17137,"LoGH, LotGH, Gin'eiden, GinEiDen, Heldensagen Vom Kosmosinsel",銀河英雄伝説,Legend of the Galactic Heroes,,Les Héros de la Galaxie,,OVA,110,Finished Airing,"Jan 8, 1988 to Mar 17, 1997",,,"[""TV Tokyo"", ""Kitty Films"", ""Tokuma Shoten"", ""Tokuma Japan Communications"", ""Wright Staff""]","[""Sentai Filmworks""]","[""K-Factory"", ""Kitty Film Mitaka Studio""]",Novel,"[""Drama"", ""Sci-Fi""]","[""Adult Cast"", ""Military"", ""Space""]",,26 min. per ep.,R - 17+ (violence & profanity),"The 150-year-long stalemate between the two interstellar superpowers, the Galactic Empire and the Free Planets Alliance, comes to an end when a new generation of leaders arises: the idealistic military genius Reinhard von Lohengramm, and the FPA's reserved historian, Yang Wenli. While Reinhard climbs the ranks of the Empire with the aid of his childhood friend, Siegfried Kircheis, he must fight not only the war, but also the remnants of the crumbling Goldenbaum Dynasty in order to free his sister from the Kaiser and unify humanity under one genuine ruler. Meanwhile, on the other side of the galaxy, Yang—a strong supporter of democratic ideals—has to stand firm in his beliefs, despite the struggles of the FPA, and show his pupil, Julian Mintz, that autocracy is not the solution. As ideologies clash amidst the war's many casualties, the two strategic masterminds must ask themselves what the real reason behind their battle is. [Written by MAL Rewrite]","Legend of the Galactic Heroes was adapted from a series of ten novels, published 1982–87, by Yoshiki Tanaka. The novels won the Seiun Award for the best long-form Japanese science fiction in 1988. At the start of its production the anime was distributed through a subscription system in which episodes were mailed to existing fans of the novels. It was made in four separate tranches over nearly a decade, with the production of side-stories continuing for several further years. The main series has the largest voice cast of any anime, with well over 300 voice actors, and it is the longest OVA series ever made. The novels have also been adapted into a manga, a stage musical by the Takarazuka Revue and a number of games."
9969,https://myanimelist.net/anime/9969/Gintama,Gintama',9.02,250201,10,404,593625,8438,Gintama (2011),銀魂',Gintama Season 2,Gintama Staffel 2,Gintama Saison 2,Gintama Temporada 2,TV,51,Finished Airing,"Apr 4, 2011 to Mar 26, 2012",Spring 2011,Mondays at 18:00 (JST),"[""TV Tokyo"", ""Aniplex"", ""Dentsu"", ""Trinity Sound"", ""Miracle Robo"", ""Shueisha""]",[],"[""Sunrise""]",Manga,"[""Action"", ""Comedy"", ""Sci-Fi""]","[""Gag Humor"", ""Historical"", ""Parody"", ""Samurai""]",Shounen,24 min. per ep.,PG-13 - Teens 13 or older,"After a one-year hiatus, Shinpachi Shimura returns to Edo, only to stumble upon a shocking surprise: Gintoki and Kagura, his fellow Yorozuya members, have become completely different characters! Fleeing from the Yorozuya headquarters in confusion, Shinpachi finds that all the denizens of Edo have undergone impossibly extreme changes, in both appearance and personality. Most unbelievably, his sister Otae has married the Shinsengumi chief and shameless stalker Isao Kondou and is pregnant with their first child. Bewildered, Shinpachi agrees to join the Shinsengumi at Otae and Kondou's request and finds even more startling transformations afoot both in and out of the ranks of the the organization. However, discovering that Vice Chief Toushirou Hijikata has remained unchanged, Shinpachi and his unlikely Shinsengumi ally set out to return the city of Edo to how they remember it. With even more dirty jokes, tongue-in-cheek parodies, and shameless references, Gintama' follows the Yorozuya team through more of their misadventures in the vibrant, alien-filled world of Edo. [Written by MAL Rewrite]",
